fips,NAME,variable,median_income,moe
05001,"Arkansas County, Arkansas",B06011_001,27167,1615
05003,"Ashley County, Arkansas",B06011_001,22614,2068
05005,"Baxter County, Arkansas",B06011_001,25261,997
05007,"Benton County, Arkansas",B06011_001,34225,719
05009,"Boone County, Arkansas",B06011_001,25631,1261
05011,"Bradley County, Arkansas",B06011_001,27341,2214
05013,"Calhoun County, Arkansas",B06011_001,23918,3614
05015,"Carroll County, Arkansas",B06011_001,25367,1229
05017,"Chicot County, Arkansas",B06011_001,21086,982
05019,"Clark County, Arkansas",B06011_001,19884,1474
05021,"Clay County, Arkansas",B06011_001,21806,1401
05023,"Cleburne County, Arkansas",B06011_001,25366,1586
05025,"Cleveland County, Arkansas",B06011_001,24239,3017
05027,"Columbia County, Arkansas",B06011_001,21103,1821
05029,"Conway County, Arkansas",B06011_001,23742,2245
05031,"Craighead County, Arkansas",B06011_001,26631,668
05033,"Crawford County, Arkansas",B06011_001,25202,933
05035,"Crittenden County, Arkansas",B06011_001,25325,831
05037,"Cross County, Arkansas",B06011_001,26143,1377
05039,"Dallas County, Arkansas",B06011_001,23445,1776
05041,"Desha County, Arkansas",B06011_001,21278,2233
05043,"Drew County, Arkansas",B06011_001,25168,2410
05045,"Faulkner County, Arkansas",B06011_001,28061,1342
05047,"Franklin County, Arkansas",B06011_001,22065,1953
05049,"Fulton County, Arkansas",B06011_001,19813,2006
05051,"Garland County, Arkansas",B06011_001,25191,910
05053,"Grant County, Arkansas",B06011_001,30432,2339
05055,"Greene County, Arkansas",B06011_001,25432,1457
05057,"Hempstead County, Arkansas",B06011_001,23447,2133
05059,"Hot Spring County, Arkansas",B06011_001,24404,1863
05061,"Howard County, Arkansas",B06011_001,23012,1517
05063,"Independence County, Arkansas",B06011_001,24530,1480
05065,"Izard County, Arkansas",B06011_001,20569,1901
05067,"Jackson County, Arkansas",B06011_001,19998,1450
05069,"Jefferson County, Arkansas",B06011_001,24259,1285
05071,"Johnson County, Arkansas",B06011_001,21368,1378
05073,"Lafayette County, Arkansas",B06011_001,21970,1779
05075,"Lawrence County, Arkansas",B06011_001,21097,1290
05077,"Lee County, Arkansas",B06011_001,18564,2405
05079,"Lincoln County, Arkansas",B06011_001,22201,2908
05081,"Little River County, Arkansas",B06011_001,26289,1848
05083,"Logan County, Arkansas",B06011_001,22401,1265
05085,"Lonoke County, Arkansas",B06011_001,31434,1131
05087,"Madison County, Arkansas",B06011_001,22083,1551
05089,"Marion County, Arkansas",B06011_001,20213,1054
05091,"Miller County, Arkansas",B06011_001,24142,1443
05093,"Mississippi County, Arkansas",B06011_001,24789,1092
05095,"Monroe County, Arkansas",B06011_001,24032,3573
05097,"Montgomery County, Arkansas",B06011_001,22221,1876
05099,"Nevada County, Arkansas",B06011_001,22471,2241
05101,"Newton County, Arkansas",B06011_001,20681,1846
05103,"Ouachita County, Arkansas",B06011_001,21690,1473
05105,"Perry County, Arkansas",B06011_001,22142,1722
05107,"Phillips County, Arkansas",B06011_001,22430,1860
05109,"Pike County, Arkansas",B06011_001,22135,1445
05111,"Poinsett County, Arkansas",B06011_001,22237,1233
05113,"Polk County, Arkansas",B06011_001,22047,1494
05115,"Pope County, Arkansas",B06011_001,22100,887
05117,"Prairie County, Arkansas",B06011_001,27083,1343
05119,"Pulaski County, Arkansas",B06011_001,31436,525
05121,"Randolph County, Arkansas",B06011_001,22237,1196
05123,"St. Francis County, Arkansas",B06011_001,20724,701
05125,"Saline County, Arkansas",B06011_001,32961,1295
05127,"Scott County, Arkansas",B06011_001,22762,1529
05129,"Searcy County, Arkansas",B06011_001,18598,1710
05131,"Sebastian County, Arkansas",B06011_001,26269,757
05133,"Sevier County, Arkansas",B06011_001,23875,1990
05135,"Sharp County, Arkansas",B06011_001,19569,984
05137,"Stone County, Arkansas",B06011_001,17672,1579
05139,"Union County, Arkansas",B06011_001,25496,1508
05141,"Van Buren County, Arkansas",B06011_001,20937,1873
05143,"Washington County, Arkansas",B06011_001,29201,1035
05145,"White County, Arkansas",B06011_001,23405,1465
05147,"Woodruff County, Arkansas",B06011_001,24537,1895
05149,"Yell County, Arkansas",B06011_001,24810,1682
06001,"Alameda County, California",B06011_001,45882,505
06003,"Alpine County, California",B06011_001,32660,3820
06005,"Amador County, California",B06011_001,32480,1857
06007,"Butte County, California",B06011_001,25467,796
06009,"Calaveras County, California",B06011_001,29944,1873
06011,"Colusa County, California",B06011_001,28629,2650
06013,"Contra Costa County, California",B06011_001,43768,630
06015,"Del Norte County, California",B06011_001,24773,1770
06017,"El Dorado County, California",B06011_001,37774,1390
06019,"Fresno County, California",B06011_001,26633,337
06021,"Glenn County, California",B06011_001,25849,1222
06023,"Humboldt County, California",B06011_001,25316,823
06025,"Imperial County, California",B06011_001,18955,863
06027,"Inyo County, California",B06011_001,32401,1450
06029,"Kern County, California",B06011_001,25526,324
06031,"Kings County, California",B06011_001,28075,1305
06033,"Lake County, California",B06011_001,25726,840
06035,"Lassen County, California",B06011_001,31642,1585
06037,"Los Angeles County, California",B06011_001,31048,97
06039,"Madera County, California",B06011_001,24564,816
06041,"Marin County, California",B06011_001,55546,1382
06043,"Mariposa County, California",B06011_001,28157,1489
06045,"Mendocino County, California",B06011_001,27297,1094
06047,"Merced County, California",B06011_001,25856,469
06049,"Modoc County, California",B06011_001,26590,1903
06051,"Mono County, California",B06011_001,36903,5684
06053,"Monterey County, California",B06011_001,30484,376
06055,"Napa County, California",B06011_001,38721,1667
06057,"Nevada County, California",B06011_001,33273,1439
06059,"Orange County, California",B06011_001,37499,387
06061,"Placer County, California",B06011_001,42751,1003
06063,"Plumas County, California",B06011_001,33100,2058
06065,"Riverside County, California",B06011_001,30279,200
06067,"Sacramento County, California",B06011_001,34013,371
06069,"San Benito County, California",B06011_001,34783,1856
06071,"San Bernardino County, California",B06011_001,28611,336
06073,"San Diego County, California",B06011_001,36028,275
06075,"San Francisco County, California",B06011_001,54549,733
06077,"San Joaquin County, California",B06011_001,30974,357
06079,"San Luis Obispo County, California",B06011_001,33765,870
06081,"San Mateo County, California",B06011_001,51281,579
06083,"Santa Barbara County, California",B06011_001,31556,509
06085,"Santa Clara County, California",B06011_001,50030,413
06087,"Santa Cruz County, California",B06011_001,34883,1040
06089,"Shasta County, California",B06011_001,28442,1044
06091,"Sierra County, California",B06011_001,27843,7275
06093,"Siskiyou County, California",B06011_001,25959,909
06095,"Solano County, California",B06011_001,37621,761
06097,"Sonoma County, California",B06011_001,38515,623
06099,"Stanislaus County, California",B06011_001,29085,706
06101,"Sutter County, California",B06011_001,28722,1545
06103,"Tehama County, California",B06011_001,24849,1343
06105,"Trinity County, California",B06011_001,24047,2572
06107,"Tulare County, California",B06011_001,24683,453
06109,"Tuolumne County, California",B06011_001,31055,1223
06111,"Ventura County, California",B06011_001,35064,554
06113,"Yolo County, California",B06011_001,31781,891
06115,"Yuba County, California",B06011_001,27679,2039
08001,"Adams County, Colorado",B06011_001,35405,510
08003,"Alamosa County, Colorado",B06011_001,23667,2760
08005,"Arapahoe County, Colorado",B06011_001,39611,542
08007,"Archuleta County, Colorado",B06011_001,26769,2765
08009,"Baca County, Colorado",B06011_001,22930,2103
08011,"Bent County, Colorado",B06011_001,24022,4227
08013,"Boulder County, Colorado",B06011_001,38758,836
08014,"Broomfield County, Colorado",B06011_001,49286,2049
08015,"Chaffee County, Colorado",B06011_001,30964,1367
08017,"Cheyenne County, Colorado",B06011_001,38615,4010
08019,"Clear Creek County, Colorado",B06011_001,38694,3734
08021,"Conejos County, Colorado",B06011_001,23201,1288
08023,"Costilla County, Colorado",B06011_001,18945,2775
08025,"Crowley County, Colorado",B06011_001,21982,4463
08027,"Custer County, Colorado",B06011_001,29293,8949
08029,"Delta County, Colorado",B06011_001,26444,1141
08031,"Denver County, Colorado",B06011_001,40997,451
08033,"Dolores County, Colorado",B06011_001,31420,1370
08035,"Douglas County, Colorado",B06011_001,52391,737
08037,"Eagle County, Colorado",B06011_001,40036,2313
08039,"Elbert County, Colorado",B06011_001,41293,1743
08041,"El Paso County, Colorado",B06011_001,34407,532
08043,"Fremont County, Colorado",B06011_001,28287,2203
08045,"Garfield County, Colorado",B06011_001,36027,1150
08047,"Gilpin County, Colorado",B06011_001,52523,5744
08049,"Grand County, Colorado",B06011_001,37111,2218
08051,"Gunnison County, Colorado",B06011_001,31094,1566
08053,"Hinsdale County, Colorado",B06011_001,31061,5379
08055,"Huerfano County, Colorado",B06011_001,23972,3332
08057,"Jackson County, Colorado",B06011_001,26460,2552
08059,"Jefferson County, Colorado",B06011_001,42400,467
08061,"Kiowa County, Colorado",B06011_001,26375,4535
08063,"Kit Carson County, Colorado",B06011_001,31077,1904
08065,"Lake County, Colorado",B06011_001,35894,2468
08067,"La Plata County, Colorado",B06011_001,34431,1692
08069,"Larimer County, Colorado",B06011_001,33757,773
08071,"Las Animas County, Colorado",B06011_001,25712,2326
08073,"Lincoln County, Colorado",B06011_001,27157,4907
08075,"Logan County, Colorado",B06011_001,26259,1870
08077,"Mesa County, Colorado",B06011_001,29411,1133
08079,"Mineral County, Colorado",B06011_001,24897,11405
08081,"Moffat County, Colorado",B06011_001,31392,1987
08083,"Montezuma County, Colorado",B06011_001,26557,1498
08085,"Montrose County, Colorado",B06011_001,28310,1853
08087,"Morgan County, Colorado",B06011_001,26985,1252
08089,"Otero County, Colorado",B06011_001,24328,1611
08091,"Ouray County, Colorado",B06011_001,35124,2639
08093,"Park County, Colorado",B06011_001,36444,5775
08095,"Phillips County, Colorado",B06011_001,35522,2988
08097,"Pitkin County, Colorado",B06011_001,48186,3884
08099,"Prowers County, Colorado",B06011_001,26736,1460
08101,"Pueblo County, Colorado",B06011_001,26741,516
08103,"Rio Blanco County, Colorado",B06011_001,32094,4227
08105,"Rio Grande County, Colorado",B06011_001,24314,3105
08107,"Routt County, Colorado",B06011_001,39851,2327
08109,"Saguache County, Colorado",B06011_001,24415,2148
08111,"San Juan County, Colorado",B06011_001,38859,6993
08113,"San Miguel County, Colorado",B06011_001,35949,1976
08115,"Sedgwick County, Colorado",B06011_001,27422,2097
08117,"Summit County, Colorado",B06011_001,39090,2793
08119,"Teller County, Colorado",B06011_001,34008,1890
08121,"Washington County, Colorado",B06011_001,27413,3517
08123,"Weld County, Colorado",B06011_001,33377,791
08125,"Yuma County, Colorado",B06011_001,33172,2307
09001,"Fairfield County, Connecticut",B06011_001,41747,473
09003,"Hartford County, Connecticut",B06011_001,38717,580
09005,"Litchfield County, Connecticut",B06011_001,39349,1310
09007,"Middlesex County, Connecticut",B06011_001,43449,1466
09009,"New Haven County, Connecticut",B06011_001,36670,649
09011,"New London County, Connecticut",B06011_001,37317,919
09013,"Tolland County, Connecticut",B06011_001,37981,1639
09015,"Windham County, Connecticut",B06011_001,32593,1522
10001,"Kent County, Delaware",B06011_001,31120,710
10003,"New Castle County, Delaware",B06011_001,36961,653
10005,"Sussex County, Delaware",B06011_001,32660,720
11001,"District of Columbia, District of Columbia",B06011_001,52328,650
12001,"Alachua County, Florida",B06011_001,26526,651
12003,"Baker County, Florida",B06011_001,30176,2971
12005,"Bay County, Florida",B06011_001,29769,983
12007,"Bradford County, Florida",B06011_001,25122,1697
12009,"Brevard County, Florida",B06011_001,29652,547
12011,"Broward County, Florida",B06011_001,31010,250
12013,"Calhoun County, Florida",B06011_001,23162,2191
12015,"Charlotte County, Florida",B06011_001,26947,590
12017,"Citrus County, Florida",B06011_001,25559,595
12019,"Clay County, Florida",B06011_001,32871,1344
12021,"Collier County, Florida",B06011_001,32201,663
12023,"Columbia County, Florida",B06011_001,25919,904
12027,"DeSoto County, Florida",B06011_001,21518,927
12029,"Dixie County, Florida",B06011_001,23446,2046
12031,"Duval County, Florida",B06011_001,31453,332
12033,"Escambia County, Florida",B06011_001,27315,730
12035,"Flagler County, Florida",B06011_001,28000,1096
12037,"Franklin County, Florida",B06011_001,25076,2800
12039,"Gadsden County, Florida",B06011_001,25421,1299
12041,"Gilchrist County, Florida",B06011_001,23568,1167
12043,"Glades County, Florida",B06011_001,22679,1710
12045,"Gulf County, Florida",B06011_001,29336,4544
12047,"Hamilton County, Florida",B06011_001,21218,1170
12049,"Hardee County, Florida",B06011_001,23234,1590
12051,"Hendry County, Florida",B06011_001,22669,1916
12053,"Hernando County, Florida",B06011_001,25692,589
12055,"Highlands County, Florida",B06011_001,23333,1053
12057,"Hillsborough County, Florida",B06011_001,31269,244
12059,"Holmes County, Florida",B06011_001,21991,1116
12061,"Indian River County, Florida",B06011_001,28770,951
12063,"Jackson County, Florida",B06011_001,23870,1390
12065,"Jefferson County, Florida",B06011_001,28199,3268
12067,"Lafayette County, Florida",B06011_001,22398,3101
12069,"Lake County, Florida",B06011_001,27396,602
12071,"Lee County, Florida",B06011_001,29562,532
