name,geog,lung_cancer_rate_per100k
"Logan County, Kentucky",21141,90
"Sawyer County, Wisconsin",55113,89.9
"Warren County, Georgia",13301,89.7
"Lee County, Kentucky",21129,89.7
"Simpson County, Kentucky",21213,89.7
"Warren County, Illinois",17187,89.6
"Webster County, Georgia",13307,89.6
"Prentiss County, Mississippi",28117,89.6
"Franklin County, Georgia",13119,89.5
"Meigs County, Tennessee",47121,89.5
"Fayette County, West Virginia",54019,89.2
"Clare County, Michigan",26035,89.1
"Polk County, Tennessee",47139,89.1
"Menominee County, Wisconsin",55078,89
"Morgan County, Ohio",39115,89
"Wayne County, West Virginia",54099,88.9
"Clay County, Illinois",17025,88.9
"Marion County, Ohio",39101,88.9
"Campbell County, Kentucky",21037,88.8
"Franklin County, Nebraska",31061,88.7
"Carroll County, Tennessee",47017,88.7
"Macoupin County, Illinois",17117,88.7
"Scioto County, Ohio",39145,88.6
"Scott County, Arkansas",05127,88.6
"Clay County, West Virginia",54015,88.6
"Chattooga County, Georgia",13055,88.5
"Jefferson County, Oklahoma",40067,88.4
"Lewis County, Kentucky",21135,88.3
"Mason County, West Virginia",54053,88.2
"Benton County, Missouri",29015,88.2
"Marshall County, Tennessee",47117,88.2
"Bullitt County, Kentucky",21029,88.2
"Hardin County, Kentucky",21093,88.2
"Bell County, Kentucky",21013,88.1
"Vernon Parish, Louisiana",22115,88
"Gilmer County, West Virginia",54021,88
"Trimble County, Kentucky",21223,87.9
"Ripley County, Missouri",29181,87.9
"Dixie County, Florida",12029,87.9
"Nowata County, Oklahoma",40105,87.8
"Morgan County, Missouri",29141,87.7
"Humphreys County, Tennessee",47085,87.7
"Stark County, Illinois",17175,87.7
"Christian County, Kentucky",21047,87.7
"Pontotoc County, Mississippi",28115,87.7
"Perry County, Arkansas",05105,87.6
"Somerset County, Maine",23025,87.6
"Knott County, Kentucky",21119,87.4
"McDowell County, North Carolina",37111,87.4
"Johnson County, Illinois",17087,87.4
"Meigs County, Ohio",39105,87.3
"Monroe County, Arkansas",05095,87.3
"Calhoun County, Florida",12013,87.2
"Lawrence County, Tennessee",47099,87.1
"Jefferson County, New York",36045,87.1
"Lake County, Michigan",26085,87.1
"Crenshaw County, Alabama",01041,87.1
"Calhoun County, Mississippi",28013,87
"Marion County, Tennessee",47115,87
"Pulaski County, Kentucky",21199,86.9
"Marshall County, Oklahoma",40095,86.9
"Caldwell County, Kentucky",21033,86.8
"Overton County, Tennessee",47133,86.8
"Perry County, Illinois",17145,86.7
"Larue County, Kentucky",21123,86.7
"Hocking County, Ohio",39073,86.7
"Okfuskee County, Oklahoma",40107,86.6
"Pulaski County, Missouri",29169,86.6
"Ross County, Ohio",39141,86.5
"Sequoyah County, Oklahoma",40135,86.4
"Elliott County, Kentucky",21063,86.4
"Brown County, Ohio",39015,86.4
"Greene County, Iowa",19073,86.3
